PM2.5,PM10,NO2,CO,SO2,O3_8h,calculated_AQI
27.425,55.393,38.997,0.54,3.276,52.219,52.6965
39.277,65.099,50.301,0.82,4.179,32.754,62.87625
66.016,108.318,59.135,1.064,6.181,22.628,88.77000000000001
78.535,133.265,63.58,1.21,6.39,19.616,104.41874999999999
51.396,169.794,23.702,0.378,2.943,58.689,109.897
103.258,275.408,55.672,0.916,3.591,21.628,162.704
104.814,229.941,63.803,1.195,6.92,23.205,139.97050000000002
44.874,111.992,40.077,0.784,5.279,36.915,80.99600000000001
35.933,60.422,33.987,0.882,7.408,25.794,55.211
27.572,41.203,27.832,0.621,2.423,40.794,41.203
54.188,72.867,38.971,0.912,2.387,20.419,73.985
80.808,94.48,46.126,1.283,2.25,17.543,107.26
51.223,57.974,27.498,0.958,3.799,37.037,70.27875
4.1,21.573,10.509,0.379,1.619,11.369,21.573
0.912,18.261,9.02,0.377,1.07,9.548,18.261
14.025,33.219,25.428,0.503,1.496,7.222,33.219
50.609,68.831,51.308,0.914,2.462,3.669,69.51125
17.082,37.482,22.526,0.461,1.942,11.674,37.482
2.304,16.913,11.744,0.383,0.982,9.819,16.913
2.304,24.907,15.639,0.289,0.374,10.351,24.907
17.614,34.575,33.568,0.539,0.666,6.126,41.959999999999994
22.662,44.699,29.575,0.509,2.506,11.796,44.699
28.197,51.668,37.582,0.635,1.948,9.14,50.834
54.395,75.78,59.501,0.994,3.094,4.591,74.37625
34.546,58.071,43.416,0.732,2.336,8.605,54.269999999999996
31.218,41.773,41.149,0.837,2.789,5.767,51.43625
50.683,69.307,48.515,0.88,3.608,35.305,69.60374999999999
98.714,127.415,65.157,1.418,3.244,21.969,129.64249999999998
107.67,146.802,60.637,1.388,3.285,43.91,140.8375
9.596,34.25,22.992,0.389,2.075,61.878,34.25
